dt_days,m,coupling,mean_strength,max_strength
25.0,4,Mech→Dens,0.1914,0.3533
25.0,4,Stim→Dens,0.0161,0.0254
25.0,4,Dens→Dens,0.1618,0.4822
25.0,4,Dir→Dens,0.0225,0.0268
25.0,4,Mech→Dens,0.1914,0.3533
25.0,4,Stim→Dens,0.0161,0.0254
25.0,4,Dens→Dens,0.1618,0.4822
25.0,4,Dir→Dens,0.0225,0.0268
25.0,4,Mech→Dens,0.1910,0.3510
25.0,4,Stim→Dens,0.0161,0.0253
25.0,4,Dens→Dens,0.1627,0.4873
25.0,4,Dir→Dens,0.0224,0.0268
25.0,4,Mech→Dens,0.1910,0.3510
25.0,4,Stim→Dens,0.0161,0.0253
25.0,4,Dens→Dens,0.1627,0.4873
25.0,4,Dir→Dens,0.0224,0.0268
25.0,12,Mech→Dens,0.1936,0.3533
25.0,12,Stim→Dens,0.0162,0.0254
25.0,12,Dens→Dens,0.1663,0.4822
25.0,12,Dir→Dens,0.0222,0.0268
25.0,12,Mech→Dens,0.1936,0.3533
25.0,12,Stim→Dens,0.0162,0.0254
25.0,12,Dens→Dens,0.1677,0.4822
25.0,12,Dir→Dens,0.0221,0.0268
25.0,12,Mech→Dens,0.1910,0.3510
25.0,12,Stim→Dens,0.0160,0.0253
25.0,12,Dens→Dens,0.1629,0.4873
25.0,12,Dir→Dens,0.0224,0.0268
25.0,12,Mech→Dens,0.1929,0.3510
25.0,12,Stim→Dens,0.0162,0.0253
25.0,12,Dens→Dens,0.1670,0.4873
25.0,12,Dir→Dens,0.0222,0.0268
50.0,4,Mech→Dens,0.1969,0.2806
50.0,4,Stim→Dens,0.0210,0.0260
50.0,4,Dens→Dens,0.3997,0.8737
50.0,4,Dir→Dens,0.0225,0.0274
50.0,4,Mech→Dens,0.1969,0.2806
50.0,4,Stim→Dens,0.0210,0.0260
50.0,4,Dens→Dens,0.3997,0.8737
50.0,4,Dir→Dens,0.0225,0.0274
50.0,4,Mech→Dens,0.1979,0.3180
50.0,4,Stim→Dens,0.0212,0.0294
50.0,4,Dens→Dens,0.4043,0.8926
50.0,4,Dir→Dens,0.0224,0.0273
50.0,4,Mech→Dens,0.1979,0.3180
50.0,4,Stim→Dens,0.0212,0.0294
50.0,4,Dens→Dens,0.4043,0.8926
50.0,4,Dir→Dens,0.0224,0.0273
50.0,12,Mech→Dens,0.1971,0.2806
50.0,12,Stim→Dens,0.0212,0.0260
50.0,12,Dens→Dens,0.3937,0.8737
50.0,12,Dir→Dens,0.0227,0.0274
50.0,12,Mech→Dens,0.1960,0.2806
50.0,12,Stim→Dens,0.0211,0.0260
50.0,12,Dens→Dens,0.3883,0.8737
50.0,12,Dir→Dens,0.0228,0.0274
50.0,12,Mech→Dens,0.1980,0.3180
50.0,12,Stim→Dens,0.0212,0.0294
50.0,12,Dens→Dens,0.4026,0.8926
50.0,12,Dir→Dens,0.0224,0.0273
50.0,12,Mech→Dens,0.1980,0.3180
50.0,12,Stim→Dens,0.0212,0.0294
50.0,12,Dens→Dens,0.4032,0.8926
50.0,12,Dir→Dens,0.0224,0.0273
