field,pair,l2_rate,h1_rate
u (disp),16-24,1.427488879003745,1.22897079976831
u (disp),24-36,1.573671984699021,1.387602526093269
u (disp),36-54,1.541194113596592,0.9334455718532289
u (disp),54-81,,
rho (dens),16-24,1.070742605303363,0.6440543814074526
rho (dens),24-36,1.239372069732815,0.7884113676216685
rho (dens),36-54,1.339397169121063,0.8681463836033577
rho (dens),54-81,,
S (stim),16-24,1.107097783609934,0.5858268051272094
S (stim),24-36,1.236660329702074,0.7761669764235772
S (stim),36-54,1.323526955729124,0.8169513261740782
S (stim),54-81,,
A (fabric),16-24,2.344016274820965,1.268530638543151
A (fabric),24-36,1.303454133618881,1.148047888270238
A (fabric),36-54,1.455242086521302,1.069110085590159
A (fabric),54-81,,
