field,pair,l2_rate,h1_rate
u (disp),100.0-50.0,2.829483172235605,2.292152435325461
u (disp),50.0-25.0,1.481399634227523,1.657735786739593
u (disp),25.0-12.5,0.9349248677608221,1.020889518989236
u (disp),12.5-6.25,,
rho (dens),100.0-50.0,2.796838765824327,2.321004653523613
rho (dens),50.0-25.0,1.624170209875341,1.619899208730641
rho (dens),25.0-12.5,0.9951224847863066,1.005390892117323
rho (dens),12.5-6.25,,
S (stim),100.0-50.0,2.918160892619893,2.520135605231219
S (stim),50.0-25.0,1.570615179320275,1.602537327751202
S (stim),25.0-12.5,0.9701143560426082,0.990519784516136
S (stim),12.5-6.25,,
A (fabric),100.0-50.0,4.028056761133735,2.76774067642276
A (fabric),50.0-25.0,1.431741336159255,1.577522969507527
A (fabric),25.0-12.5,0.819009094030299,0.994399020554472
A (fabric),12.5-6.25,,
